test,type,frontend,backend,charismatic,teamwork,design,management
on site demo 1,communication,0,0,50,30,10,10
on site demo 2,communication,0,0,50,30,10,10
on site demo 3,communication,0,0,50,30,10,10
personal interview 1,communication,0,0,100,0,0,0
personal interview 2,communication,0,0,100,0,0,0
tech interview 1,communication,40,40,20,0,0,0
tech interview 2,communication,40,40,20,0,0,0
repository documentation,communication,40,0,0,0,30,30
tech article,communication,20,20,30,0,10,20
video demo 1,communication,0,0,30,30,30,10
video demo 2,communication,0,0,30,30,30,10
video demo 3,communication,0,0,30,30,30,10
microsteps,planning,0,0,0,30,30,40
test cases,planning,0,0,0,30,30,40
project board,planning,0,0,0,50,50,0
figma,planning,10,0,0,20,40,30
weekend assignment 1,coding,0,100,0,0,0,0
weekend assignment 2,coding,0,100,0,0,0,0
weekend assignment 3,coding,100,0,0,0,0,0
on site test 1,coding,0,100,0,0,0,0
on site test 2,coding,0,100,0,0,0,0
on site test 3,coding,50,50,0,0,0,0
hackday 1,coding,30,30,0,0,20,20
hackday 2,coding,30,30,0,0,20,20
hackday 3,coding,30,30,0,0,20,20
project 1,coding,30,30,0,0,20,20
project 2,coding,30,30,0,0,20,20
